Time(s)	Pitch(deg)	Roll(deg)	Yaw(deg)
0.150	0.552	-0.641	0.097
0.210	1.162	-0.830	-0.719
0.264	0.163	-1.709	-1.231
0.335	-0.064	-2.580	-0.880
0.394	-0.574	-2.714	-1.041
0.456	0.373	-2.089	-0.565
0.505	0.224	-2.979	-0.312
0.572	-0.723	-2.368	0.397
0.628	-1.039	-1.474	0.337
0.686	-1.074	-1.793	-0.487
0.747	-1.542	-1.610	-0.808
0.811	-2.346	-0.837	-1.434
0.874	-2.415	-0.712	-1.398
0.929	-2.402	0.207	-1.489
0.981	-2.768	0.977	-1.880
1.034	-2.785	0.188	-2.519
1.090	-2.132	-0.235	-3.386
1.144	-2.713	-0.453	-3.774
1.195	-1.949	-0.498	-3.276
1.248	-1.303	-0.100	-4.070
1.299	-0.377	0.158	-3.532
1.354	-1.245	-0.359	-2.988
1.404	-0.973	-0.334	-2.232
1.457	-0.534	-1.134	-1.618
1.512	-0.119	-1.221	-0.670
1.569	-0.764	-1.605	-0.000
1.622	0.121	-2.406	-0.008
1.684	-0.162	-2.063	0.703
1.745	-0.931	-3.009	1.049
1.803	-1.213	-2.244	1.301
1.858	-1.089	-1.753	0.313
1.920	-0.875	-1.475	0.551
1.975	-1.704	-1.713	1.385
2.034	-2.135	-1.333	1.447
2.089	-1.799	-1.928	1.705
2.146	-2.153	-2.642	2.616
2.206	-1.243	-3.556	2.629
2.268	-1.070	-3.876	3.433
2.325	-1.848	-4.525	4.295
2.385	-2.283	-4.275	3.947
2.449	-2.808	-4.890	3.835
2.503	-3.333	-4.202	4.712
2.556	-2.913	-5.053	4.822
2.620	-3.416	-4.988	4.425
2.673	-3.985	-5.909	4.044
